SWD24 Spine-Leaf Links                20160411 2601.0.4,,,,,,,,,,,,,,
Mode,SWD24,,,,,,,,,,,,,
Source,,,,,,Destination,,,,,,Cable,,
Rack Group,Rack,Name,Name-2,Port,Type,Rack Group,Rack,Name,Name-2,Port,Type,Label,Length,Details
,,ZzNAMEqQ,S204A,29,,,,ZzNAMEqQ,L104A,44,,,,
,,ZzNAMEqQ,S205A,28,,,,ZzNAMEqQ,L104A,45,,,,
,,ZzNAMEqQ,S206A,27,,,,ZzNAMEqQ,L104A,46,,,,
,,ZzNAMEqQ,S207A,26,,,,ZzNAMEqQ,L104A,47,,,,
,,ZzNAMEqQ,S208A,25,,,,ZzNAMEqQ,L104A,48,,,,
,,ZzNAMEqQ,S208B,24,,,,ZzNAMEqQ,L104B,25,,,,
,,ZzNAMEqQ,S207B,23,,,,ZzNAMEqQ,L104B,26,,,,
,,ZzNAMEqQ,S206B,22,,,,ZzNAMEqQ,L104B,27,,,,
,,ZzNAMEqQ,S205B,21,,,,ZzNAMEqQ,L104B,28,,,,
,,ZzNAMEqQ,S204B,20,,,,ZzNAMEqQ,L104B,29,,,,
,,ZzNAMEqQ,S203B,19,,,,ZzNAMEqQ,L104B,30,,,,
,,ZzNAMEqQ,S208A,31,,,,ZzNAMEqQ,L104B,31,,,,
,,ZzNAMEqQ,S207A,32,,,,ZzNAMEqQ,L104B,32,,,,
,,ZzNAMEqQ,S206A,33,,,,ZzNAMEqQ,L104B,33,,,,
,,ZzNAMEqQ,S205A,34,,,,ZzNAMEqQ,L104B,34,,,,
,,ZzNAMEqQ,S204A,35,,,,ZzNAMEqQ,L104B,35,,,,
,,ZzNAMEqQ,S203A,36,,,,ZzNAMEqQ,L104B,36,,,,
,,ZzNAMEqQ,S202A,37,,,,ZzNAMEqQ,L104B,37,,,,
,,ZzNAMEqQ,S201A,38,,,,ZzNAMEqQ,L104B,38,,,,
,,ZzNAMEqQ,S212A,39,,,,ZzNAMEqQ,L104B,39,,,,
,,ZzNAMEqQ,S211A,40,,,,ZzNAMEqQ,L104B,40,,,,
,,ZzNAMEqQ,S210A,41,,,,ZzNAMEqQ,L104B,41,,,,
,,ZzNAMEqQ,S209A,42,,,,ZzNAMEqQ,L104B,42,,,,
,,ZzNAMEqQ,S201B,06,,,,ZzNAMEqQ,L104B,43,,,,
,,ZzNAMEqQ,S212B,05,,,,ZzNAMEqQ,L104B,44,,,,
,,ZzNAMEqQ,S211B,04,,,,ZzNAMEqQ,L104B,45,,,,
,,ZzNAMEqQ,S210B,03,,,,ZzNAMEqQ,L104B,46,,,,
,,ZzNAMEqQ,S209B,02,,,,ZzNAMEqQ,L104B,47,,,,
,,ZzNAMEqQ,S202B,01,,,,ZzNAMEqQ,L104B,48,,,,
,,ZzNAMEqQ,S203A,24,,,,ZzNAMEqQ,L105A,25,,,,
,,ZzNAMEqQ,S210A,23,,,,ZzNAMEqQ,L105A,26,,,,
,,ZzNAMEqQ,S211A,22,,,,ZzNAMEqQ,L105A,27,,,,
,,ZzNAMEqQ,S212A,21,,,,ZzNAMEqQ,L105A,28,,,,
,,ZzNAMEqQ,S201A,20,,,,ZzNAMEqQ,L105A,29,,,,
,,ZzNAMEqQ,S202A,19,,,,ZzNAMEqQ,L105A,30,,,,
,,ZzNAMEqQ,S209B,31,,,,ZzNAMEqQ,L105A,31,,,,
,,ZzNAMEqQ,S210B,32,,,,ZzNAMEqQ,L105A,32,,,,
,,ZzNAMEqQ,S211B,33,,,,ZzNAMEqQ,L105A,33,,,,
,,ZzNAMEqQ,S212B,34,,,,ZzNAMEqQ,L105A,34,,,,
,,ZzNAMEqQ,S201B,35,,,,ZzNAMEqQ,L105A,35,,,,
,,ZzNAMEqQ,S202B,36,,,,ZzNAMEqQ,L105A,36,,,,
,,ZzNAMEqQ,S203B,37,,,,ZzNAMEqQ,L105A,37,,,,
,,ZzNAMEqQ,S204B,38,,,,ZzNAMEqQ,L105A,38,,,,
,,ZzNAMEqQ,S205B,39,,,,ZzNAMEqQ,L105A,39,,,,
,,ZzNAMEqQ,S206B,40,,,,ZzNAMEqQ,L105A,40,,,,
,,ZzNAMEqQ,S207B,41,,,,ZzNAMEqQ,L105A,41,,,,
,,ZzNAMEqQ,S208B,42,,,,ZzNAMEqQ,L105A,42,,,,
,,ZzNAMEqQ,S204A,06,,,,ZzNAMEqQ,L105A,43,,,,
,,ZzNAMEqQ,S205A,05,,,,ZzNAMEqQ,L105A,44,,,,
,,ZzNAMEqQ,S206A,04,,,,ZzNAMEqQ,L105A,45,,,,
,,ZzNAMEqQ,S207A,03,,,,ZzNAMEqQ,L105A,46,,,,
,,ZzNAMEqQ,S208A,02,,,,ZzNAMEqQ,L105A,47,,,,
,,ZzNAMEqQ,S209A,01,,,,ZzNAMEqQ,L105A,48,,,,
,,ZzNAMEqQ,S209B,48,,,,ZzNAMEqQ,L105B,25,,,,
,,ZzNAMEqQ,S208B,47,,,,ZzNAMEqQ,L105B,26,,,,
,,ZzNAMEqQ,S207B,46,,,,ZzNAMEqQ,L105B,27,,,,
,,ZzNAMEqQ,S206B,45,,,,ZzNAMEqQ,L105B,28,,,,
,,ZzNAMEqQ,S205B,44,,,,ZzNAMEqQ,L105B,29,,,,
,,ZzNAMEqQ,S204B,43,,,,ZzNAMEqQ,L105B,30,,,,
,,ZzNAMEqQ,S209A,07,,,,ZzNAMEqQ,L105B,31,,,,
,,ZzNAMEqQ,S208A,08,,,,ZzNAMEqQ,L105B,32,,,,
,,ZzNAMEqQ,S207A,09,,,,ZzNAMEqQ,L105B,33,,,,
,,ZzNAMEqQ,S206A,10,,,,ZzNAMEqQ,L105B,34,,,,
,,ZzNAMEqQ,S205A,11,,,,ZzNAMEqQ,L105B,35,,,,
,,ZzNAMEqQ,S204A,12,,,,ZzNAMEqQ,L105B,36,,,,
,,ZzNAMEqQ,S203A,13,,,,ZzNAMEqQ,L105B,37,,,,
,,ZzNAMEqQ,S202A,14,,,,ZzNAMEqQ,L105B,38,,,,
,,ZzNAMEqQ,S201A,15,,,,ZzNAMEqQ,L105B,39,,,,
,,ZzNAMEqQ,S212A,16,,,,ZzNAMEqQ,L105B,40,,,,
,,ZzNAMEqQ,S211A,17,,,,ZzNAMEqQ,L105B,41,,,,
,,ZzNAMEqQ,S210A,18,,,,ZzNAMEqQ,L105B,42,,,,
,,ZzNAMEqQ,S202B,30,,,,ZzNAMEqQ,L105B,43,,,,
,,ZzNAMEqQ,S201B,29,,,,ZzNAMEqQ,L105B,44,,,,
,,ZzNAMEqQ,S212B,28,,,,ZzNAMEqQ,L105B,45,,,,
,,ZzNAMEqQ,S211B,27,,,,ZzNAMEqQ,L105B,46,,,,
,,ZzNAMEqQ,S210B,26,,,,ZzNAMEqQ,L105B,47,,,,
,,ZzNAMEqQ,S203B,25,,,,ZzNAMEqQ,L105B,48,,,,
,,ZzNAMEqQ,S203A,48,,,,ZzNAMEqQ,L106A,25,,,,
,,ZzNAMEqQ,S210A,47,,,,ZzNAMEqQ,L106A,26,,,,
,,ZzNAMEqQ,S211A,46,,,,ZzNAMEqQ,L106A,27,,,,
,,ZzNAMEqQ,S212A,45,,,,ZzNAMEqQ,L106A,28,,,,
,,ZzNAMEqQ,S201A,44,,,,ZzNAMEqQ,L106A,29,,,,
,,ZzNAMEqQ,S202A,43,,,,ZzNAMEqQ,L106A,30,,,,
,,ZzNAMEqQ,S209B,07,,,,ZzNAMEqQ,L106A,31,,,,
,,ZzNAMEqQ,S210B,08,,,,ZzNAMEqQ,L106A,32,,,,
,,ZzNAMEqQ,S211B,09,,,,ZzNAMEqQ,L106A,33,,,,
,,ZzNAMEqQ,S212B,10,,,,ZzNAMEqQ,L106A,34,,,,
,,ZzNAMEqQ,S201B,11,,,,ZzNAMEqQ,L106A,35,,,,
,,ZzNAMEqQ,S202B,12,,,,ZzNAMEqQ,L106A,36,,,,
,,ZzNAMEqQ,S203B,13,,,,ZzNAMEqQ,L106A,37,,,,
,,ZzNAMEqQ,S204B,14,,,,ZzNAMEqQ,L106A,38,,,,
,,ZzNAMEqQ,S205B,15,,,,ZzNAMEqQ,L106A,39,,,,
,,ZzNAMEqQ,S206B,16,,,,ZzNAMEqQ,L106A,40,,,,
,,ZzNAMEqQ,S207B,17,,,,ZzNAMEqQ,L106A,41,,,,
,,ZzNAMEqQ,S208B,18,,,,ZzNAMEqQ,L106A,42,,,,
,,ZzNAMEqQ,S204A,30,,,,ZzNAMEqQ,L106A,43,,,,
,,ZzNAMEqQ,S205A,29,,,,ZzNAMEqQ,L106A,44,,,,
,,ZzNAMEqQ,S206A,28,,,,ZzNAMEqQ,L106A,45,,,,
,,ZzNAMEqQ,S207A,27,,,,ZzNAMEqQ,L106A,46,,,,
,,ZzNAMEqQ,S208A,26,,,,ZzNAMEqQ,L106A,47,,,,
,,ZzNAMEqQ,S209A,25,,,,ZzNAMEqQ,L106A,48,,,,
,,ZzNAMEqQ,S209B,24,,,,ZzNAMEqQ,L106B,25,,,,
,,ZzNAMEqQ,S208B,23,,,,ZzNAMEqQ,L106B,26,,,,
,,ZzNAMEqQ,S207B,22,,,,ZzNAMEqQ,L106B,27,,,,
,,ZzNAMEqQ,S206B,21,,,,ZzNAMEqQ,L106B,28,,,,
,,ZzNAMEqQ,S205B,20,,,,ZzNAMEqQ,L106B,29,,,,
,,ZzNAMEqQ,S204B,19,,,,ZzNAMEqQ,L106B,30,,,,
,,ZzNAMEqQ,S209A,31,,,,ZzNAMEqQ,L106B,31,,,,
,,ZzNAMEqQ,S208A,32,,,,ZzNAMEqQ,L106B,32,,,,
,,ZzNAMEqQ,S207A,33,,,,ZzNAMEqQ,L106B,33,,,,
,,ZzNAMEqQ,S206A,34,,,,ZzNAMEqQ,L106B,34,,,,
,,ZzNAMEqQ,S205A,35,,,,ZzNAMEqQ,L106B,35,,,,
,,ZzNAMEqQ,S204A,36,,,,ZzNAMEqQ,L106B,36,,,,
,,ZzNAMEqQ,S203A,37,,,,ZzNAMEqQ,L106B,37,,,,
,,ZzNAMEqQ,S202A,38,,,,ZzNAMEqQ,L106B,38,,,,
,,ZzNAMEqQ,S201A,39,,,,ZzNAMEqQ,L106B,39,,,,
,,ZzNAMEqQ,S212A,40,,,,ZzNAMEqQ,L106B,40,,,,
,,ZzNAMEqQ,S211A,41,,,,ZzNAMEqQ,L106B,41,,,,
,,ZzNAMEqQ,S210A,42,,,,ZzNAMEqQ,L106B,42,,,,
,,ZzNAMEqQ,S202B,06,,,,ZzNAMEqQ,L106B,43,,,,
,,ZzNAMEqQ,S201B,05,,,,ZzNAMEqQ,L106B,44,,,,
,,ZzNAMEqQ,S212B,04,,,,ZzNAMEqQ,L106B,45,,,,
,,ZzNAMEqQ,S211B,03,,,,ZzNAMEqQ,L106B,46,,,,
,,ZzNAMEqQ,S210B,02,,,,ZzNAMEqQ,L106B,47,,,,
,,ZzNAMEqQ,S203B,01,,,,ZzNAMEqQ,L106B,48,,,,
,,ZzNAMEqQ,S204A,24,,,,ZzNAMEqQ,L107A,25,,,,
,,ZzNAMEqQ,S211A,23,,,,ZzNAMEqQ,L107A,26,,,,
,,ZzNAMEqQ,S212A,22,,,,ZzNAMEqQ,L107A,27,,,,
,,ZzNAMEqQ,S201A,21,,,,ZzNAMEqQ,L107A,28,,,,
,,ZzNAMEqQ,S202A,20,,,,ZzNAMEqQ,L107A,29,,,,
,,ZzNAMEqQ,S203A,19,,,,ZzNAMEqQ,L107A,30,,,,
,,ZzNAMEqQ,S210B,31,,,,ZzNAMEqQ,L107A,31,,,,
,,ZzNAMEqQ,S211B,32,,,,ZzNAMEqQ,L107A,32,,,,
,,ZzNAMEqQ,S212B,33,,,,ZzNAMEqQ,L107A,33,,,,
,,ZzNAMEqQ,S201B,34,,,,ZzNAMEqQ,L107A,34,,,,
,,ZzNAMEqQ,S202B,35,,,,ZzNAMEqQ,L107A,35,,,,
,,ZzNAMEqQ,S203B,36,,,,ZzNAMEqQ,L107A,36,,,,
,,ZzNAMEqQ,S204B,37,,,,ZzNAMEqQ,L107A,37,,,,
,,ZzNAMEqQ,S205B,38,,,,ZzNAMEqQ,L107A,38,,,,
,,ZzNAMEqQ,S206B,39,,,,ZzNAMEqQ,L107A,39,,,,
,,ZzNAMEqQ,S207B,40,,,,ZzNAMEqQ,L107A,40,,,,
,,ZzNAMEqQ,S208B,41,,,,ZzNAMEqQ,L107A,41,,,,
,,ZzNAMEqQ,S209B,42,,,,ZzNAMEqQ,L107A,42,,,,
,,ZzNAMEqQ,S205A,06,,,,ZzNAMEqQ,L107A,43,,,,
,,ZzNAMEqQ,S206A,05,,,,ZzNAMEqQ,L107A,44,,,,
,,ZzNAMEqQ,S207A,04,,,,ZzNAMEqQ,L107A,45,,,,
,,ZzNAMEqQ,S208A,03,,,,ZzNAMEqQ,L107A,46,,,,
,,ZzNAMEqQ,S209A,02,,,,ZzNAMEqQ,L107A,47,,,,
,,ZzNAMEqQ,S210A,01,,,,ZzNAMEqQ,L107A,48,,,,
,,ZzNAMEqQ,S210B,48,,,,ZzNAMEqQ,L107B,25,,,,
,,ZzNAMEqQ,S209B,47,,,,ZzNAMEqQ,L107B,26,,,,
,,ZzNAMEqQ,S208B,46,,,,ZzNAMEqQ,L107B,27,,,,
